PERMNO,date,TICKER,RET,sprtrn
90248,2019/11/29,DPZ,0.083499,0.034047
90248,2019/12/31,DPZ,0.000442,0.028590
90248,2020/01/31,DPZ,-0.040949,-0.001628
90248,2020/02/28,DPZ,0.204827,-0.084110
90248,2020/03/31,DPZ,-0.043039,-0.125119
90248,2020/04/30,DPZ,0.116827,0.126844
90248,2020/05/29,DPZ,0.066063,0.045282
90248,2020/06/30,DPZ,-0.040483,0.018388
90248,2020/07/31,DPZ,0.046476,0.055101
90248,2020/08/31,DPZ,0.057810,0.070065
90248,2020/09/30,DPZ,0.041813,-0.039228
90248,2020/10/30,DPZ,-0.110421,-0.027666
90248,2020/11/30,DPZ,0.037667,0.107546
90248,2020/12/31,DPZ,-0.021219,0.037121
91611,2010/01/29,FSLR,-0.163220,-0.036974
91611,2010/02/26,FSLR,-0.066637,0.028514
91611,2010/03/31,FSLR,0.159811,0.058796
91611,2010/04/30,FSLR,0.173909,0.014759
91611,2010/05/28,FSLR,-0.219614,-0.081976
91611,2010/06/30,FSLR,0.013083,-0.053882
91611,2010/07/30,FSLR,0.102082,0.068778
91611,2010/08/31,FSLR,0.019131,-0.047449
91611,2010/09/30,FSLR,0.152523,0.087551
91611,2010/10/29,FSLR,-0.065626,0.036856
91611,2010/11/30,FSLR,-0.107714,-0.002290
91611,2010/12/31,FSLR,0.059341,0.065300
91611,2011/01/31,FSLR,0.187798,0.022646
91611,2011/02/28,FSLR,-0.046513,0.031957
91611,2011/03/31,FSLR,0.091254,-0.001047
91611,2011/04/29,FSLR,-0.132243,0.028495
91611,2011/05/31,FSLR,-0.109766,-0.013501
91611,2011/06/30,FSLR,0.064547,-0.018258
91611,2011/07/29,FSLR,-0.106147,-0.021474
91611,2011/08/31,FSLR,-0.154360,-0.056791
91611,2011/09/30,FSLR,-0.367774,-0.071762
