"Markettype","Trdwnt","Cwretmdos"
"53","2017-47","-0.008371"
"63","2017-47","-0.008378"
"69","2017-47","-0.007069"
"79","2017-47","-0.007082"
"85","2017-47","-0.008371"
"95","2017-47","-0.008378"
"101","2017-47","-0.007069"
"111","2017-47","-0.007082"
"117","2017-47","-0.008371"
"127","2017-47","-0.008378"
"33","2017-47","-0.005380"
"20","2017-47","-0.013590"
"10","2017-48","-0.008293"
"5","2017-48","-0.011342"
"15","2017-48","-0.011329"
"21","2017-48","-0.009929"
"31","2017-48","-0.009922"
"37","2017-48","-0.011342"
"47","2017-48","-0.011329"
"53","2017-48","-0.009929"
"63","2017-48","-0.009922"
"69","2017-48","-0.011342"
"79","2017-48","-0.011329"
"85","2017-48","-0.009929"
"95","2017-48","-0.009922"
"101","2017-48","-0.011342"
"111","2017-48","-0.011329"
"117","2017-48","-0.009929"
"127","2017-48","-0.009922"
"33","2017-48","-0.012556"
"20","2017-48","-0.005311"
"10","2017-49","-0.012996"
"5","2017-49","-0.007558"
"15","2017-49","-0.007581"
"21","2017-49","-0.008006"
"31","2017-49","-0.008026"
"37","2017-49","-0.007558"
"47","2017-49","-0.007581"
"53","2017-49","-0.008006"
"63","2017-49","-0.008026"
"69","2017-49","-0.007558"
"79","2017-49","-0.007581"
"85","2017-49","-0.008006"
"95","2017-49","-0.008026"
"101","2017-49","-0.007558"
"111","2017-49","-0.007581"
"117","2017-49","-0.008006"
"127","2017-49","-0.008026"
"33","2017-49","-0.005709"
"20","2017-49","-0.012020"
"10","2017-50","0.005720"
"5","2017-50","-0.003316"
"15","2017-50","-0.003278"
"21","2017-50","-0.002861"
"31","2017-50","-0.002827"
"37","2017-50","-0.003316"
"47","2017-50","-0.003278"
"53","2017-50","-0.002861"
"63","2017-50","-0.002827"
"69","2017-50","-0.003316"
"79","2017-50","-0.003278"
"85","2017-50","-0.002861"
"95","2017-50","-0.002827"
"101","2017-50","-0.003316"
"111","2017-50","-0.003278"
"117","2017-50","-0.002861"
"127","2017-50","-0.002827"
"33","2017-50","-0.008329"
"20","2017-50","0.006719"
"10","2017-51","0.004432"
"5","2017-51","0.010330"
"15","2017-51","0.010305"
"21","2017-51","0.008927"
"31","2017-51","0.008909"
"37","2017-51","0.010330"
"47","2017-51","0.010305"
"53","2017-51","0.008927"
"63","2017-51","0.008909"
"69","2017-51","0.010330"
"79","2017-51","0.010305"
"85","2017-51","0.008927"
"95","2017-51","0.008909"
"101","2017-51","0.010330"
"111","2017-51","0.010305"
"117","2017-51","0.008927"
"127","2017-51","0.008909"
"33","2017-51","0.012247"
"20","2017-51","0.003177"
"10","2017-52","0.011310"
"5","2017-52","0.001500"
"15","2017-52","0.001541"
"21","2017-52","0.000926"
"31","2017-52","0.000967"
"37","2017-52","0.001500"
"47","2017-52","0.001541"
"53","2017-52","0.000926"
"63","2017-52","0.000967"
