PERMNO,date,TICKER,PRC,RET,sprtrn
89393,2021/05/14,NFLX,493.37000,0.013788,0.014918
89393,2021/05/17,NFLX,488.94000,-0.008979,-0.002530
89393,2021/05/18,NFLX,486.28000,-0.005440,-0.008517
89393,2021/05/19,NFLX,487.70001,0.002920,-0.002943
89393,2021/05/20,NFLX,501.67001,0.028645,0.010555
89393,2021/05/21,NFLX,497.89001,-0.007535,-0.000784
89393,2021/05/24,NFLX,502.89999,0.010062,0.009911
89393,2021/05/25,NFLX,501.34000,-0.003102,-0.002125
89393,2021/05/26,NFLX,502.35999,0.002035,0.001877
89393,2021/05/27,NFLX,503.85999,0.002986,0.001165
89393,2021/05/28,NFLX,502.81000,-0.002084,0.000769
89393,2021/06/01,NFLX,499.07999,-0.007418,-0.000492
89393,2021/06/02,NFLX,499.23999,0.000321,0.001447
89393,2021/06/03,NFLX,489.42999,-0.019650,-0.003629
89393,2021/06/04,NFLX,494.73999,0.010849,0.008834
89393,2021/06/07,NFLX,494.66000,-0.000162,-0.000797
89393,2021/06/08,NFLX,492.39001,-0.004589,0.000175
89393,2021/06/09,NFLX,485.81000,-0.013363,-0.001824
89393,2021/06/10,NFLX,487.26999,0.003005,0.004652
89393,2021/06/11,NFLX,488.76999,0.003078,0.001948
89393,2021/06/14,NFLX,499.89001,0.022751,0.001815
89393,2021/06/15,NFLX,491.89999,-0.015984,-0.002012
89393,2021/06/16,NFLX,492.41000,0.001037,-0.005390
89393,2021/06/17,NFLX,498.34000,0.012043,-0.000436
89393,2021/06/18,NFLX,500.76999,0.004876,-0.013125
89393,2021/06/21,NFLX,497.00000,-0.007528,0.014002
89393,2021/06/22,NFLX,508.82001,0.023783,0.005125
89393,2021/06/23,NFLX,512.73999,0.007704,-0.001083
89393,2021/06/24,NFLX,518.06000,0.010376,0.005811
89393,2021/06/25,NFLX,527.07001,0.017392,0.003331
89393,2021/06/28,NFLX,533.03003,0.011308,0.002315
89393,2021/06/29,NFLX,533.50000,0.000882,0.000277
89393,2021/06/30,NFLX,528.21002,-0.009916,0.001328
90248,2020/08/03,DPZ,387.03000,0.001086,0.007181
90248,2020/08/04,DPZ,391.85999,0.012480,0.003612
90248,2020/08/05,DPZ,393.44000,0.004032,0.006430
90248,2020/08/06,DPZ,392.54999,-0.002262,0.006428
90248,2020/08/07,DPZ,389.12000,-0.008738,0.000633
90248,2020/08/10,DPZ,385.92999,-0.008198,0.002742
90248,2020/08/11,DPZ,388.64999,0.007048,-0.007969
90248,2020/08/12,DPZ,392.67001,0.010344,0.013997
90248,2020/08/13,DPZ,399.04001,0.016222,-0.002047
90248,2020/08/14,DPZ,398.98999,-0.000125,-0.000172
90248,2020/08/17,DPZ,409.39001,0.026066,0.002710
90248,2020/08/18,DPZ,411.45001,0.005032,0.002303
90248,2020/08/19,DPZ,414.23001,0.006757,-0.004404
90248,2020/08/20,DPZ,418.32999,0.009898,0.003159
90248,2020/08/21,DPZ,419.70001,0.003275,0.003441
90248,2020/08/24,DPZ,418.98999,-0.001692,0.010044
90248,2020/08/25,DPZ,419.35999,0.000883,0.003596
90248,2020/08/26,DPZ,418.09000,-0.003028,0.010196
90248,2020/08/27,DPZ,416.32001,-0.004234,0.001673
90248,2020/08/28,DPZ,415.98001,-0.000817,0.006733
90248,2020/08/31,DPZ,408.95999,-0.016876,-0.002195
90248,2020/09/01,DPZ,410.14999,0.002910,0.007525
90248,2020/09/02,DPZ,403.60001,-0.015970,0.015366
90248,2020/09/03,DPZ,397.50000,-0.015114,-0.035126
90248,2020/09/04,DPZ,381.81000,-0.039472,-0.008133
90248,2020/09/08,DPZ,376.32001,-0.014379,-0.027756
90248,2020/09/09,DPZ,382.07001,0.015280,0.020145
90248,2020/09/10,DPZ,388.97000,0.018060,-0.017585
90248,2020/09/11,DPZ,394.67999,0.014680,0.000533
90248,2020/09/14,DPZ,388.51999,-0.013631,0.012742
90248,2020/09/15,DPZ,389.51999,0.002574,0.005219
90248,2020/09/16,DPZ,385.98001,-0.009088,-0.004619
